1 : Stock
2 : Waste => Table 1
3 : Waste => Table 2
4 : Waste => Table 3
5 : Waste => Table 4
6 : Waste => Table 5
7 : Waste => Table 6
8 : Waste => Table 7
9 : Foundation 1 => Table 1
573 : Table 7 (3) => Table 6
574 : Table 7 (4) => Table 6
575 : Table 7 (5) => Table 6
576 : Table 7 (6) => Table 6
577 : Table 7 (7) => Table 6
578 : Table 7 (8) => Table 6
579 : Table 7 (9) => Table 6
580 : Table 7 (10) => Table 6
581 : Table 7 (11) => Table 6
582 : Table 7 (12) => Table 6
583 : Waste => Foundation 1
584 : Waste => Foundation 2
585 : Waste => Foundation 3
586 : Waste => Foundation 4
587 : Table 1 => Foundation 1
588 : Table 1 => Foundation 2
589 : Table 1 => Foundation 3
590 : Table 1 => Foundation 4
591 : Table 2 => Foundation 1
592 : Table 2 => Foundation 2
593 : Table 2 => Foundation 3
594 : Table 2 => Foundation 4
595 : Table 3 => Foundation 1
596 : Table 3 => Foundation 2
597 : Table 3 => Foundation 3
598 : Table 3 => Foundation 4
599 : Table 4 => Foundation 1
600 : Table 4 => Foundation 2
601 : Table 4 => Foundation 3
602 : Table 4 => Foundation 4
603 : Table 5 => Foundation 1
604 : Table 5 => Foundation 2
605 : Table 5 => Foundation 3
606 : Table 5 => Foundation 4
607 : Table 6 => Foundation 1
608 : Table 6 => Foundation 2
609 : Table 6 => Foundation 3
610 : Table 6 => Foundation 4
611 : Table 7 => Foundation 1
612 : Table 7 => Foundation 2
613 : Table 7 => Foundation 3
614 : Table 7 => Foundation 4
